Repositório,Número de Estrelas,Último Commit,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer,AplicacaoWeb
TAIJULAMAN/EcommerceWeb-AdminSide,15,2024-10-18T21:09:03Z,true,false,false,false,false,false,false,Sim
sioaeko/StatusWatch,6,2025-01-19T13:03:05Z,true,false,false,false,false,false,false,Sim
helwyza-f/dashboard-monitoring,5,2024-12-28T04:22:02Z,true,false,false,false,false,false,false,Sim
boussaidev/livekit-dashboard,5,2025-02-10T19:30:10Z,true,false,false,false,false,false,false,Sim
MangoLion/aihorde-monitor,5,2024-12-21T20:58:27Z,true,false,false,false,false,false,false,Sim
machinelearningprodigy/Finance.Pro,5,2025-02-22T10:38:01Z,true,false,false,false,false,false,false,Sim
Human-Centered-Optimization-Lab/pymoo-dashboard,4,2025-09-05T18:05:23Z,true,false,false,false,false,false,false,Sim
agungdwiprasetyo/task-queue-worker-dashboard,4,2024-10-22T08:12:52Z,true,false,false,false,false,false,false,Sim
Spiderpig86/spottr,54,2025-07-23T05:46:31Z,true,false,false,false,false,false,false,Sim
StefanErrorerko/AnalyticalDashboardFlyingEtiquette,25,2025-01-25T16:40:18Z,true,false,false,false,false,false,false,Sim
astrod333/dash,19,2025-04-21T22:40:01Z,true,false,false,false,false,false,false,Sim
sagar2535/e-commerce-admin,13,2024-10-19T03:54:41Z,true,false,false,false,false,false,false,Sim
